District,Year,Season,Crop,Area_Hectare,Production_Tonnes,Yield_kg_ha,NDVI,NDWI,EVI,Rainfall_mm,Temperature_C,Soil_Moisture,NDVI_NDWI_ratio,EVI_NDVI_ratio,Vegetation_Water_Index,Vegetation_Stress_Index,Temperature_Rainfall_ratio,Climate_Index
Amritsar,2021,Kharif,Rice,184.7,617.4521,3343.0,0.5450788973183889,0.2064946175664088,1.4188149593809574,23.394538089632988,27.9111267089844,0.2940826416015625,2.6396760542346396,2.6029533822737703,0.11255585844528053,2.6029533822737703,1.1930616711493391,0.2464940821694969
Amritsar,2021,Rabi,Potato,9.5,248.102,26116.0,0.5100292594824584,0.209643695924508,1.257638182079319,7.228190544992685,17.393945312500023,0.216064453125,2.4328385226814464,2.465815752130537,0.10692441898754249,2.465815752130537,2.4064038163119044,0.08978727994877604
Amritsar,2021,Rabi,Wheat,189.0,900.0,4763.0,0.5100292594824584,0.209643695924508,1.257638182079319,7.228190544992685,17.393945312500023,0.216064453125,2.4328385226814464,2.465815752130537,0.10692441898754249,2.465815752130537,2.4064038163119044,0.08978727994877604
Amritsar,2022,Kharif,Rice,183.0,658.983,3601.0,0.5404332780812691,0.1889191655238453,1.634978631621749,12.87488080561161,27.506768798828148,0.2808303833007812,2.8606588250732865,3.0253107977112483,0.10209820391642958,3.0253107977112483,2.1364678410722933,0.13144610833918866
Amritsar,2022,Rabi,Potato,9.1,237.7102,26122.0,0.5248702698187979,0.1967256700824841,1.4172385947944584,6.854241713881493,17.766107177734398,0.2351481169462204,2.668031424667293,2.700169310949417,0.10325545553647725,2.700169310949417,2.591987256847646,0.0907211701465715
Amritsar,2022,Rabi,Wheat,189.3,842.5,4451.0,0.5248702698187979,0.1967256700824841,1.4172385947944584,6.854241713881493,17.766107177734398,0.2351481169462204,2.668031424667293,2.700169310949417,0.10325545553647725,2.700169310949417,2.591987256847646,0.0907211701465715
Barnala,2021,Kharif,Rice,115.3,602.0966,5222.0,0.6811090995827357,0.2927034887840331,1.762301482306239,20.72670124471188,27.9550720214844,0.3029518127441406,2.3269592802335266,2.587399703492243,0.19936300969041815,2.587399703492243,1.3487468020805644,0.2246172612063361
Barnala,2021,Rabi,Barley,0.3,1.0,3422.0,0.5289412284673437,0.2189792993918499,1.4424966833362542,3.83020075969398,18.3659606933594,0.1855417937040329,2.4154850706725304,2.727139813842877,0.11582717962924334,2.727139813842877,4.795038653490001,0.03869453556312605
Barnala,2021,Rabi,Potato,1.7,42.3062,24886.0,0.5289412284673437,0.2189792993918499,1.4424966833362542,3.83020075969398,18.3659606933594,0.1855417937040329,2.4154850706725304,2.727139813842877,0.11582717962924334,2.727139813842877,4.795038653490001,0.03869453556312605
Barnala,2021,Rabi,Wheat,113.7,546.2,4804.0,0.5289412284673437,0.2189792993918499,1.4424966833362542,3.83020075969398,18.3659606933594,0.1855417937040329,2.4154850706725304,2.727139813842877,0.11582717962924334,2.727139813842877,4.795038653490001,0.03869453556312605
Barnala,2022,Kharif,Rice,116.1,550.7784,4744.0,0.6836607982004689,0.3215516847292073,2.1202708629028333,12.9335168749094,27.521417236328148,0.2852859497070312,2.1261303568544805,3.10134919024728,0.2198322814446754,3.10134919024728,2.127914433677262,0.134068337143626
Barnala,2022,Rabi,Barley,0.3,0.9,2862.0,0.5010396176625058,0.151922312153542,1.189027681811598,4.5087686739861965,18.649591064453148,0.2087529450654983,3.297998895357283,2.373121086429761,0.07611909719581454,2.373121086429761,4.136293612057296,0.050468599341445076
Barnala,2022,Rabi,Potato,1.6,39.820800000000006,24888.0,0.5010396176625058,0.151922312153542,1.189027681811598,4.5087686739861965,18.649591064453148,0.2087529450654983,3.297998895357283,2.373121086429761,0.07611909719581454,2.373121086429761,4.136293612057296,0.050468599341445076
Barnala,2022,Rabi,Wheat,114.8,524.9,4572.0,0.5010396176625058,0.151922312153542,1.189027681811598,4.5087686739861965,18.649591064453148,0.2087529450654983,3.297998895357283,2.373121086429761,0.07611909719581454,2.373121086429761,4.136293612057296,0.050468599341445076
Bathinda,2021,Kharif,Rice,177.2,821.8536,4638.0,0.6172674105825718,0.2382211273649661,1.528940433631766,13.496017083525658,29.1274353027344,0.25225830078125,2.591153091291054,2.476949871999179,0.14704613843463366,2.476949871999179,2.1582245430238625,0.11688232422184114
Bathinda,2021,Rabi,Barley,0.6,2.0,4274.0,0.5378943624552539,0.2117841401234085,1.4711557399911042,2.745630918070674,19.053765869140648,0.1600596159696579,2.5398236248560355,2.7350272519606227,0.11391749502981496,2.7350272519606227,6.939667580131101,0.023064450007363912
Bathinda,2021,Rabi,Potato,5.4,147.285,27275.0,0.5378943624552539,0.2117841401234085,1.4711557399911042,2.745630918070674,19.053765869140648,0.1600596159696579,2.5398236248560355,2.7350272519606227,0.11391749502981496,2.7350272519606227,6.939667580131101,0.023064450007363912
Bathinda,2021,Rabi,Wheat,255.6,1265.5,4951.0,0.5378943624552539,0.2117841401234085,1.4711557399911042,2.745630918070674,19.053765869140648,0.1600596159696579,2.5398236248560355,2.7350272519606227,0.11391749502981496,2.7350272519606227,6.939667580131101,0.023064450007363912
Bathinda,2022,Kharif,Bajra,0.1,0.1,600.0,0.626769932774908,0.2599199561200111,1.668831622538273,11.63761131465435,28.487237548828148,0.248565673828125,2.4113959625536165,2.6625904263623967,0.16291001342419642,2.6625904263623967,2.4478595115955075,0.10154409297211286
Bathinda,2022,Kharif,Rice,180.4,828.5772000000001,4593.0,0.626769932774908,0.2599199561200111,1.668831622538273,11.63761131465435,28.487237548828148,0.248565673828125,2.4113959625536165,2.6625904263623967,0.16291001342419642,2.6625904263623967,2.4478595115955075,0.10154409297211286
Bathinda,2022,Rabi,Barley,0.6,2.0,3297.0,0.4660834932824902,0.1297691630553279,1.087729815094162,3.5102867987006903,19.407403564453148,0.1784083098173141,3.5916351952102255,2.3337660113933616,0.0604832648371723,2.3337660113933616,5.528723058080802,0.0322693518816342
Bathinda,2022,Rabi,Potato,6.1,166.40189999999998,27279.0,0.4660834932824902,0.1297691630553279,1.087729815094162,3.5102867987006903,19.407403564453148,0.1784083098173141,3.5916351952102255,2.3337660113933616,0.0604832648371723,2.3337660113933616,5.528723058080802,0.0322693518816342
Bathinda,2022,Rabi,Wheat,260.7,1148.6,4406.0,0.4660834932824902,0.1297691630553279,1.087729815094162,3.5102867987006903,19.407403564453148,0.1784083098173141,3.5916351952102255,2.3337660113933616,0.0604832648371723,2.3337660113933616,5.528723058080802,0.0322693518816342
Faridkot,2021,Kharif,Rice,116.2,476.8848,4104.0,0.6085677792922771,0.2404928439757241,1.3628744570866984,13.506537303328514,28.7480407714844,0.2515335083007812,2.5305026512710183,2.239478499291613,0.1463561959939905,2.239478499291613,2.128453809134323,0.11817663471075465
Faridkot,2021,Rabi,Barley,0.1,0.4,3873.0,0.5629975444278047,0.2451695857332063,1.4834693339681724,3.6463167052716017,18.340234375000023,0.1737798005342483,2.2963596513984363,2.6349481425818246,0.13802987473617728,2.6349481425818246,5.029797425024802,0.03455005954507032
Faridkot,2021,Rabi,Potato,0.4,9.6372,24093.0,0.5629975444278047,0.2451695857332063,1.4834693339681724,3.6463167052716017,18.340234375000023,0.1737798005342483,2.2963596513984363,2.6349481425818246,0.13802987473617728,2.6349481425818246,5.029797425024802,0.03455005954507032
Faridkot,2021,Rabi,Wheat,116.0,587.7,5066.0,0.5629975444278047,0.2451695857332063,1.4834693339681724,3.6463167052716017,18.340234375000023,0.1737798005342483,2.2963596513984363,2.6349481425818246,0.13802987473617728,2.6349481425818246,5.029797425024802,0.03455005954507032
Faridkot,2022,Kharif,Rice,115.7,503.1793,4349.0,0.675192903830894,0.303202053611053,1.799611956118305,12.206478044390678,28.099542236328148,0.2629776000976562,2.2268744416125563,2.6653300796079282,0.2047198750251373,2.6653300796079282,2.302018824278385,0.11423781479288811
Faridkot,2022,Rabi,Barley,0.1,0.3,3514.0,0.4769020223514302,0.1410399424245432,1.2228570653759585,4.174688830971718,18.840661621093773,0.1864725798368454,3.3813259857687066,2.564168336604017,0.06726223377459394,2.564168336604017,4.513069688288203,0.04131834709327833
Faridkot,2022,Rabi,Potato,0.4,9.6396,24099.0,0.4769020223514302,0.1410399424245432,1.2228570653759585,4.174688830971718,18.840661621093773,0.1864725798368454,3.3813259857687066,2.564168336604017,0.06726223377459394,2.564168336604017,4.513069688288203,0.04131834709327833
Faridkot,2022,Rabi,Wheat,115.6,529.6,4582.0,0.4769020223514302,0.1410399424245432,1.2228570653759585,4.174688830971718,18.840661621093773,0.1864725798368454,3.3813259857687066,2.564168336604017,0.06726223377459394,2.564168336604017,4.513069688288203,0.04131834709327833
Fatehgarh Sahib,2021,Kharif,Rice,87.1,414.3347,4757.0,0.569617394565633,0.2131827710051028,1.4783638643254882,19.023319706320763,27.4155212402344,0.3123359680175781,2.671967307114131,2.595362919794309,0.12143261458620863,2.595362919794309,1.4411533666821157,0.21672639098547244
